,y
2018-10-29,76.22
2018-10-30,74.17
2018-10-31,76.8
2018-11-01,77.44
2018-11-02,79.46
2018-11-05,76.1
2018-11-06,76.37
2018-11-07,78.35
2018-11-08,77.68
2018-11-09,75.62
2018-11-12,74.5
2018-11-13,75.0
2018-11-14,75.0
2018-11-15,75.15
2018-11-16,74.18
2018-11-19,72.24
2018-11-20,71.06
2018-11-21,73.3
2018-11-23,72.99
2018-11-26,74.44
2018-11-27,71.09
2018-11-28,72.55
2018-11-29,71.5
2018-11-30,71.9
2018-12-03,74.71
2018-12-04,71.58
2018-12-06,69.87
2018-12-07,67.09
2018-12-10,65.33
2018-12-11,66.76
2018-12-12,67.37
2018-12-13,66.69
2018-12-14,65.95
2018-12-17,64.44
2018-12-18,63.39
2018-12-19,62.0
2018-12-20,62.36
2018-12-21,61.44
2018-12-24,60.08
2018-12-26,61.74
2018-12-27,61.96
2018-12-28,61.38
2018-12-31,61.57
2019-01-02,61.15
2019-01-03,60.42
2019-01-04,62.62
2019-01-07,63.57
2019-01-08,67.01
2019-01-09,69.54
2019-01-10,70.23
2019-01-11,69.43
2019-01-14,70.37
2019-01-15,69.82
2019-01-16,70.35
2019-01-17,71.14
2019-01-18,72.93
2019-01-22,71.72
2019-01-23,70.25
2019-01-24,71.82
2019-01-25,73.0
2019-01-28,73.03
2019-01-29,72.43
2019-01-30,73.79
2019-01-31,79.13
2019-02-01,78.02
2019-02-04,78.59
2019-02-05,78.66
2019-02-06,78.28
2019-02-07,76.22
2019-02-08,75.69
2019-02-11,76.06
2019-02-12,77.16
2019-02-13,79.52
2019-02-14,79.65
2019-02-15,80.95
2019-02-19,81.3
2019-02-20,81.71
2019-02-21,81.12
2019-02-22,82.36
2019-02-25,83.05
2019-02-26,82.77
2019-02-27,83.31
2019-02-28,83.11
2019-03-01,84.27
2019-03-04,83.95
2019-03-05,83.99
2019-03-06,82.46
2019-03-07,82.14
2019-03-08,81.79
2019-03-11,82.58
2019-03-12,82.47
2019-03-13,82.35
2019-03-14,81.1
2019-03-15,81.96
2019-03-18,81.0
2019-03-19,82.81
2019-03-20,80.43
2019-03-21,80.9
2019-03-22,77.61
2019-03-25,78.02
2019-03-26,78.98
2019-03-27,77.71
2019-03-28,78.81
2019-03-29,79.49
2019-04-01,82.58
2019-04-02,82.93
2019-04-03,84.98
2019-04-04,86.44
2019-04-05,86.94
2019-04-08,88.49
2019-04-09,87.51
2019-04-10,88.56
2019-04-11,89.08
2019-04-12,90.79
2019-04-15,89.72
2019-04-16,90.12
2019-04-17,90.72
2019-04-18,90.34
2019-04-22,89.74
2019-04-23,89.49
2019-04-24,88.95
2019-04-25,85.45
2019-04-26,86.51
2019-04-29,85.84
2019-04-30,85.7
2019-05-01,83.64
2019-05-02,79.78
2019-05-03,80.18
2019-05-06,79.7
2019-05-07,79.43
2019-05-08,79.72
2019-05-09,77.91
2019-05-10,77.23
2019-05-13,73.31
2019-05-14,74.73
2019-05-15,75.04
2019-05-16,73.71
2019-05-17,73.65
2019-05-20,72.73
2019-05-21,72.38
2019-05-22,69.35
2019-05-23,67.72
2019-05-24,67.81
2019-05-28,69.12
2019-05-29,68.61
2019-05-30,68.67
2019-05-31,64.04
2019-06-03,66.84
2019-06-04,70.51
2019-06-05,72.51
2019-06-06,72.92
2019-06-07,73.4
2019-06-10,75.71
2019-06-11,76.14
2019-06-12,74.89
2019-06-13,76.09
2019-06-14,75.33
2019-06-17,75.84
2019-06-18,76.8
2019-06-19,76.85
2019-06-20,78.47
2019-06-21,78.42
2019-06-24,78.31
2019-06-25,78.11
2019-06-26,78.92
2019-06-27,81.06
2019-06-28,80.83
2019-07-01,80.71
2019-07-02,79.58
2019-07-03,79.32
2019-07-05,79.19
2019-07-08,76.77
2019-07-09,76.07
2019-07-10,77.52
2019-07-11,77.72
2019-07-12,80.2
2019-07-15,80.78
2019-07-16,79.99
2019-07-17,78.36
2019-07-18,78.65
2019-07-19,80.09
2019-07-22,80.09
2019-07-23,82.2
2019-07-24,83.68
2019-07-25,81.91
2019-07-26,82.4
2019-07-29,82.18
2019-07-30,81.57
2019-07-31,87.65
2019-08-01,83.63
2019-08-02,83.25
2019-08-05,80.99
2019-08-06,83.2
2019-08-07,83.52
2019-08-08,85.46
2019-08-09,83.54
2019-08-12,82.56
2019-08-13,83.56
2019-08-14,79.52
2019-08-15,79.19
2019-08-16,81.85
2019-08-19,83.56
2019-08-20,82.19
2019-08-21,83.43
2019-08-22,83.52
2019-08-23,79.88
2019-08-26,80.86
2019-08-27,81.02
2019-08-28,82.68
2019-08-29,83.3
2019-08-30,83.17
2019-09-03,81.56
2019-09-04,84.19
2019-09-05,88.17
2019-09-06,88.75
2019-09-09,90.31
2019-09-10,90.76
2019-09-11,91.1
2019-09-12,91.15
2019-09-13,90.18
2019-09-16,89.59
2019-09-17,89.64
2019-09-18,89.51
2019-09-19,89.47
2019-09-20,87.07
2019-09-23,87.99
2019-09-24,86.69
2019-09-25,88.07
2019-09-26,87.71
2019-09-27,86.88
2019-09-30,87.42
2019-10-01,85.11
2019-10-02,82.22
2019-10-03,82.6
2019-10-04,83.43
2019-10-07,84.0
2019-10-08,80.56
2019-10-09,81.85
2019-10-10,83.17
2019-10-11,86.26
2019-10-14,86.59
2019-10-15,88.05
2019-10-16,89.11
2019-10-17,89.04
2019-10-18,88.96
2019-10-21,89.36
2019-10-22,90.39
2019-10-23,89.37
2019-10-24,89.02
2019-10-25,89.58
2019-10-28,90.11
2019-10-29,90.38
2019-10-30,92.42
2019-10-31,89.55
2019-11-01,92.35
2019-11-04,95.62
2019-11-05,95.23
2019-11-06,95.58
2019-11-07,96.49
2019-11-08,96.88
2019-11-11,96.05
2019-11-12,95.18
2019-11-13,91.69
2019-11-14,92.25
2019-11-15,92.31
2019-11-18,92.32
2019-11-19,91.14
2019-11-20,89.5
2019-11-21,88.99
2019-11-22,91.47
2019-11-25,94.02
2019-11-26,94.87
2019-11-27,94.68
2019-11-29,93.88
2019-12-02,94.5
2019-12-03,91.83
2019-12-04,92.37
2019-12-05,93.38
2019-12-06,93.77
2019-12-09,92.96
2019-12-10,92.77
2019-12-11,92.99
2019-12-12,95.81
2019-12-13,93.55
2019-12-16,94.96
2019-12-17,95.84
2019-12-18,97.86
2019-12-19,97.85
2019-12-20,96.35
2019-12-23,95.53
2019-12-24,94.89
2019-12-26,95.72
2019-12-27,96.31
2019-12-30,95.25
2019-12-31,94.97
2020-01-02,96.31
2020-01-03,94.1
2020-01-06,92.35
2020-01-07,91.19
2020-01-08,93.09
2020-01-09,91.73
2020-01-10,89.51
2020-01-13,88.87
2020-01-14,89.01
2020-01-15,87.89
2020-01-16,91.2
2020-01-17,91.53
2020-01-21,91.0
2020-01-22,91.15
2020-01-23,92.33
2020-01-24,91.54
2020-01-27,88.6
2020-01-28,89.64
2020-01-29,89.88
2020-01-30,87.68
2020-01-31,84.79
2020-02-03,86.72
2020-02-04,90.51
2020-02-05,90.52
2020-02-06,88.24
2020-02-07,87.13
2020-02-10,87.3
2020-02-11,90.78
2020-02-12,91.51
2020-02-13,90.52
2020-02-14,88.32
2020-02-18,88.02
2020-02-19,90.71
2020-02-20,91.09
2020-02-21,90.07
2020-02-24,83.98
2020-02-25,81.11
2020-02-26,81.1
2020-02-27,77.98
2020-02-28,78.11
2020-03-02,82.17
2020-03-03,80.57
2020-03-04,83.1
2020-03-05,78.5
2020-03-06,76.29
2020-03-09,68.91
2020-03-10,72.84
2020-03-11,67.23
2020-03-12,59.4
2020-03-13,66.47
2020-03-16,51.12
2020-03-17,48.31
2020-03-18,33.55
2020-03-19,40.58
2020-03-20,45.17
2020-03-23,46.5
2020-03-24,49.52
2020-03-25,50.73
2020-03-26,55.28
2020-03-27,51.28
2020-03-30,49.92
2020-03-31,49.24
2020-04-01,45.92
2020-04-02,45.59
2020-04-03,43.29
2020-04-06,49.93
2020-04-07,53.5
2020-04-08,60.2
2020-04-09,62.23
2020-04-13,60.74
2020-04-14,62.82
2020-04-15,60.87
2020-04-16,59.36
2020-04-17,63.92
2020-04-20,59.53
2020-04-21,58.35
2020-04-22,60.5
2020-04-23,60.73
2020-04-24,62.74
2020-04-27,65.51
2020-04-28,66.68
2020-04-29,71.66
2020-04-30,69.55
2020-05-01,65.75
2020-05-04,64.27
2020-05-05,65.64
2020-05-06,65.18
2020-05-07,65.23
2020-05-08,68.15
2020-05-11,66.71
2020-05-12,64.5
2020-05-13,60.79
2020-05-14,63.15
2020-05-15,64.07
2020-05-18,70.18
2020-05-19,70.0
2020-05-20,71.71
2020-05-21,71.53
2020-05-22,71.89
2020-05-26,75.68
2020-05-27,77.63
2020-05-28,73.63
2020-05-29,75.35
2020-06-01,76.64
2020-06-02,79.66
2020-06-03,83.33
2020-06-04,83.69
2020-06-05,85.85
2020-06-08,87.5
2020-06-09,75.91
2020-06-10,82.43
2020-06-11,72.95
2020-06-12,75.66
2020-06-15,75.55
2020-06-16,76.15
2020-06-17,76.05
2020-06-18,76.61
2020-06-19,77.73
2020-06-22,78.52
2020-06-23,78.76
2020-06-24,74.62
2020-06-25,76.63
2020-06-26,74.13
2020-06-29,75.67
2020-06-30,77.92
2020-07-01,75.42
2020-07-02,76.81
2020-07-06,78.43
2020-07-07,77.11
2020-07-08,76.76
2020-07-09,75.39
2020-07-10,76.28
2020-07-13,76.68
2020-07-14,78.19
2020-07-15,81.78
2020-07-16,82.27
2020-07-17,81.78
2020-07-20,81.94
2020-07-21,81.87
2020-07-22,82.72
2020-07-23,82.33
2020-07-24,82.25
2020-07-27,83.55
2020-07-28,82.17
2020-07-29,83.67
2020-07-30,80.46
2020-07-31,77.75
2020-08-03,79.72
2020-08-04,81.02
2020-08-05,83.84
2020-08-06,84.53
2020-08-07,83.86
2020-08-10,86.44
2020-08-11,88.84
2020-08-12,89.5
2020-08-13,88.63
2020-08-14,88.34
2020-08-17,88.16
2020-08-18,87.24
2020-08-19,85.42
2020-08-20,84.49
2020-08-21,83.88
2020-08-24,85.5
