Date,AAPL,ADBE,APTV,EPAM,FRT,MELI,MO,NEM,SWK,TTD
2018-10-15,54.34000015,238.0099945,73.65000153,118.3700027,119.2300034,294.75,61.43999863,32.65999985,127.8600006,12.38700008
2018-10-16,55.53749847,260.6700134,74.27999878,123.4899979,121.8600006,308.6000061,60.77000046,32.29000092,128.1000061,12.98900032
2018-10-17,55.29750061,258.9100037,73.98000336,123.0999985,122,313.3699951,60.61999893,32.11000061,123.5699997,12.82800007
2018-10-18,54.00500107,250.3500061,74.20999908,121.3899994,121.8099976,298.7600098,60.93000031,32.36999893,120.4499969,12.47200012
2018-10-19,54.82749939,245.0299988,74.29000092,120.6399994,122.9000015,301.8699951,61.95000076,32.18999863,118.0999985,12.13000011
2018-10-22,55.16249847,251.0599976,74.27999878,120.6600037,120.0100021,313.5599976,61.31000137,31.96999931,117.8199997,12.43999958
2018-10-23,55.68249893,251.7599945,76.33000183,119.6200027,120.1900024,306.8599854,61.84999847,32.40999985,117.0800018,12.27499962
2018-10-24,53.77249908,238.4400024,72.87999725,114.7099991,121,291.3999939,62.31000137,31.76000023,113.0800018,11.38000011
2018-10-25,54.95000076,252.9199982,74.12999725,117.9499969,123.2099991,297.5899963,63.15999985,29.60000038,114.8600006,11.6239996
2018-10-26,54.07500076,245.8000031,73.73000336,115.6200027,122.5199966,295.3699951,63.09000015,30,110.2099991,11.03100014
2018-10-29,53.06000137,239.75,76.22000122,112.4899979,125.3099976,287.3399963,64.58999634,30.76000023,108.4499969,10.9119997
2018-10-30,53.32500076,238.4100037,74.16999817,113.25,126.9100037,310.4100037,65.87000275,31,113.1900024,11.52799988
2018-10-31,54.71500015,245.7599945,76.80000305,119.4700012,124.0500031,324.5,65.04000092,30.92000008,116.5199966,12.35499954
2018-11-01,55.55500031,245.2799988,77.44000244,127.5999985,124.2900009,341.6499939,63.66999817,32.06000137,123.4800034,12.65999985
2018-11-02,51.86999893,239.6399994,79.45999908,126.3000031,122.7699966,354.3900146,63.66999817,32.41999817,124.2399979,12.79500008
2018-11-05,50.39749908,239.8899994,76.09999847,124.1800003,124.8700027,357.6199951,64.62999725,32.38999939,123.7799988,12.30000019
2018-11-06,50.94250107,240.5599976,76.37000275,125,125.1399994,336.1900024,64.87000275,32.31000137,125.6800003,12.21100044
2018-11-07,52.48749924,253.4299927,78.34999847,129.2100067,126.9100037,349.5599976,65.37000275,32.5,128.6900024,13.18799973
2018-11-08,52.12250137,249.9600067,77.68000031,130.6699982,128.1399994,331.4700012,65.37000275,32.41999817,128.4299927,12.22000027
2018-11-09,51.11750031,244.8399963,75.62000275,130.0700073,128.6600037,325.6900024,63.41999817,32.02000046,125.7399979,12.25699997
2018-11-12,48.54249954,236.6699982,74.5,127.0100021,128.4600067,322,61.20000076,31.53000069,121.9700012,11.09300041
2018-11-13,48.05749893,238.7400055,75,128.25,128.9900055,327.9400024,60,31.40999985,124.9300003,11.20600033
2018-11-14,46.70000076,235.2200012,75,126.0199966,128.8500061,336.8599854,59.09999847,32.40000153,124.9899979,11.65100002
2018-11-15,47.85250092,239.9499969,75.15000153,126.1600037,127.3700027,340.769989,57.27999878,32.86000061,128.8399963,12.33399963
2018-11-16,48.38249969,238.8899994,74.18000031,125.3199997,129.0099945,344.6099854,56.77999878,33.31999969,130.1900024,12.52299976
2018-11-19,46.46500015,219.6900024,72.23999786,121.0999985,129.2700043,335.3900146,55.68000031,32.79000092,126.8700027,11.37300014
2018-11-20,44.24499893,219.7299957,71.05999756,118.0100021,129.3500061,313.7900085,55.63000107,32.90000153,124.2300034,11.32699966
2018-11-21,44.19499969,225.9799957,73.30000305,120.5199966,129.1100006,319,54.38999939,33.59000015,125.6399994,11.85299969
2018-11-23,43.07249832,225.5599976,72.98999786,120.3700027,128.4400024,309.8200073,53.72000122,32.45999908,125.9400024,11.93500042
2018-11-26,43.65499878,231.9600067,74.44000244,124.4100037,128.7799988,322.1799927,53.20999908,32.47000122,128.4199982,12.93999958
2018-11-27,43.56000137,232.25,71.08999634,124.0800018,129.3899994,331.7200012,53.79000092,31.95999908,125.8700027,12.94299984
2018-11-28,45.23500061,249.2100067,72.55000305,126.3399963,131.0599976,345.7799988,54.95000076,32.68999863,127.9199982,13.56599998
2018-11-29,44.88750076,249.0899963,71.5,126.6999969,130.8899994,357.9899902,55.93999863,32.34000015,127.4599991,14.08100033
2018-11-30,44.64500046,250.8899994,71.90000153,130.25,132.0899963,351.9700012,54.83000183,32.34000015,130.8500061,14.24499989
2018-12-03,46.20500183,255.2599945,74.70999908,134.4299927,133.7700043,369.5100098,55.72999954,33.22000122,136.0200043,14.86100006
2018-12-04,44.17250061,245.8200073,71.58000183,130.3099976,131.2700043,354.8500061,54.40000153,33.79000092,126.3499985,14.01099968
2018-12-06,43.68000031,250.6300049,69.87000275,127.9100037,135.5500031,350.5599976,54.40000153,32.65999985,126.5199966,14.18700027
2018-12-07,42.12250137,238,67.08999634,122.8499985,134.0200043,346.5599976,54.18000031,33.38999939,122.5899963,13.35700035
2018-12-10,42.40000153,244.0899963,65.33000183,122.25,132.8000031,353.519989,53.36000061,33.52999878,121.8600006,13.47500038
2018-12-11,42.15750122,245.3399963,66.76000214,123.4100037,133.3200073,355.2399902,53.95000076,33.34000015,119.8099976,13.78100014
2018-12-12,42.27500153,245.5500031,67.37000275,124.0699997,130.3899994,361.3599854,53.33000183,34.08000183,119.8300018,14.34000015
2018-12-13,42.73749924,248.0800018,66.69000244,123.8000031,131.5599976,333.5100098,53.91999817,34.04000092,117.9000015,13.89999962
