,y
2019-04-02,170.96
2019-04-03,175.02
2019-04-04,169.29
2019-04-05,168.35
2019-04-08,169.27
2019-04-09,168.92
2019-04-10,171.2
2019-04-11,172.51
2019-04-12,173.56
2019-04-15,172.28
2019-04-16,174.0
2019-04-17,169.77
2019-04-18,171.42
2019-04-22,172.73
2019-04-23,177.19
2019-04-24,176.58
2019-04-25,176.15
2019-04-26,176.59
2019-04-29,177.26
2019-04-30,179.36
2019-05-01,178.02
2019-05-02,175.08
2019-05-03,177.31
2019-05-06,176.79
2019-05-07,170.29
2019-05-08,170.42
2019-05-09,169.79
2019-05-10,171.14
2019-05-13,163.97
2019-05-14,168.3
2019-05-15,171.04
2019-05-16,171.88
2019-05-17,169.52
2019-05-20,166.49
2019-05-21,170.15
2019-05-22,171.23
2019-05-23,166.41
2019-05-24,167.31
2019-05-28,166.95
2019-05-29,166.77
2019-05-30,173.04
2019-05-31,172.59
2019-06-03,162.87
2019-06-04,168.18
2019-06-05,170.16
2019-06-06,172.82
2019-06-07,176.75
2019-06-10,177.11
2019-06-11,177.45
2019-06-12,177.89
2019-06-13,176.7
2019-06-14,174.5
2019-06-17,172.6
2019-06-18,173.48
2019-06-19,173.53
2019-06-20,175.0
2019-06-21,174.08
2019-06-24,171.81
2019-06-25,170.49
2019-06-26,170.99
2019-06-27,172.93
2019-06-28,173.1
2019-07-01,176.71
2019-07-02,177.13
2019-07-03,177.39
2019-07-05,180.11
2019-07-08,184.67
2019-07-09,187.01
2019-07-10,188.11
2019-07-11,191.05
2019-07-12,193.63
2019-07-15,196.02
2019-07-16,195.9
2019-07-17,198.51
2019-07-18,195.28
2019-07-19,192.87
2019-07-22,193.9
2019-07-23,195.46
2019-07-24,196.91
2019-07-25,197.46
2019-07-26,200.82
2019-07-29,198.89
2019-07-30,197.48
2019-07-31,193.79
2019-08-01,193.74
2019-08-02,187.83
2019-08-05,176.38
2019-08-06,179.91
2019-08-07,179.7
2019-08-08,189.98
2019-08-09,186.5
2019-08-12,186.74
2019-08-13,189.61
2019-08-14,182.34
2019-08-15,184.48
2019-08-16,188.02
2019-08-19,190.64
2019-08-20,193.27
2019-08-21,196.97
2019-08-22,195.5
2019-08-23,188.24
2019-08-26,188.97
2019-08-27,188.9
2019-08-28,189.75
2019-08-29,191.98
2019-08-30,191.33
2019-09-03,188.27
2019-09-04,191.44
2019-09-05,194.82
2019-09-06,192.89
2019-09-09,193.48
2019-09-10,176.13
2019-09-11,183.73
2019-09-12,184.17
2019-09-13,178.92
2019-09-16,180.95
2019-09-17,183.26
2019-09-18,184.56
2019-09-19,185.24
2019-09-20,185.79
2019-09-23,184.76
2019-09-24,181.78
2019-09-25,183.83
2019-09-26,183.64
2019-09-27,180.36
2019-09-30,182.32
2019-10-01,181.44
2019-10-02,180.02
2019-10-03,184.3
2019-10-04,188.91
2019-10-07,190.03
2019-10-08,184.51
2019-10-09,185.83
2019-10-10,184.44
2019-10-11,189.02
2019-10-14,188.2
2019-10-15,189.95
2019-10-16,188.45
2019-10-17,189.2
2019-10-18,186.96
2019-10-21,185.98
2019-10-22,170.0
2019-10-23,171.85
2019-10-24,177.52
2019-10-25,176.15
2019-10-28,178.57
2019-10-29,176.62
2019-10-30,177.25
2019-10-31,175.96
2019-11-01,177.42
2019-11-04,177.28
2019-11-05,177.81
2019-11-06,178.41
2019-11-07,190.29
2019-11-08,189.23
2019-11-11,194.28
2019-11-12,199.66
2019-11-13,200.84
2019-11-14,207.67
2019-11-15,205.69
2019-11-18,208.18
2019-11-19,209.7
2019-11-20,208.27
2019-11-21,205.51
2019-11-22,205.15
2019-11-25,212.74
2019-11-26,212.3
2019-11-27,213.03
2019-11-29,211.85
2019-12-02,205.05
2019-12-03,205.1
2019-12-04,207.01
2019-12-05,206.5
2019-12-06,209.91
2019-12-09,208.81
2019-12-10,208.53
2019-12-11,207.84
2019-12-12,206.74
2019-12-13,210.02
2019-12-16,212.2
2019-12-17,209.22
2019-12-18,209.32
2019-12-19,211.17
2019-12-20,211.9
2019-12-23,211.3
2019-12-24,211.66
2019-12-26,215.86
2019-12-27,214.39
2019-12-30,210.51
2019-12-31,212.16
2020-01-02,216.31
2020-01-03,217.4
2020-01-06,214.2
2020-01-07,215.61
2020-01-08,221.38
2020-01-09,223.29
2020-01-10,223.08
2020-01-13,228.56
2020-01-14,227.17
2020-01-15,228.71
2020-01-16,233.71
2020-01-17,232.43
2020-01-21,231.81
2020-01-22,232.51
2020-01-23,230.3
2020-01-24,227.57
2020-01-27,226.84
2020-01-28,233.33
2020-01-29,233.43
2020-01-30,231.92
2020-01-31,228.14
2020-02-03,234.25
2020-02-04,238.6
2020-02-05,232.1
2020-02-06,234.78
2020-02-07,233.02
2020-02-10,235.33
2020-02-11,231.47
2020-02-12,232.35
2020-02-13,232.95
2020-02-14,236.75
2020-02-18,237.0
2020-02-19,240.0
2020-02-20,238.05
2020-02-21,231.36
2020-02-24,226.03
2020-02-25,216.96
2020-02-26,221.89
2020-02-27,220.84
2020-02-28,223.2
2020-03-02,229.87
2020-03-03,225.0
2020-03-04,235.95
2020-03-05,232.44
2020-03-06,226.4
2020-03-09,206.47
2020-03-10,218.32
2020-03-11,202.71
2020-03-12,163.44
2020-03-13,192.0
2020-03-16,160.13
2020-03-17,184.08
2020-03-18,167.77
2020-03-19,165.26
2020-03-20,168.07
2020-03-23,168.01
2020-03-24,178.31
2020-03-25,175.05
2020-03-26,185.47
2020-03-27,175.22
2020-03-30,188.22
2020-03-31,185.66
2020-04-01,176.16
2020-04-02,172.02
2020-04-03,161.57
2020-04-06,184.43
2020-04-07,184.98
2020-04-08,187.86
2020-04-09,192.29
2020-04-13,197.14
2020-04-14,200.62
2020-04-15,206.53
2020-04-16,199.13
2020-04-17,209.94
2020-04-20,206.66
2020-04-21,193.98
2020-04-22,200.81
2020-04-23,204.75
2020-04-24,203.03
2020-04-27,205.78
2020-04-28,208.55
2020-04-29,223.43
2020-04-30,220.89
2020-05-01,216.33
2020-05-04,216.21
2020-05-05,221.89
2020-05-06,222.97
2020-05-07,227.01
2020-05-08,223.3
2020-05-11,228.03
2020-05-12,221.26
2020-05-13,212.02
2020-05-14,209.03
2020-05-15,216.97
2020-05-18,221.93
2020-05-19,218.64
2020-05-20,223.96
2020-05-21,223.86
2020-05-22,223.45
2020-05-26,223.93
2020-05-27,223.93
2020-05-28,228.07
2020-05-29,230.64
2020-06-01,233.86
2020-06-02,232.63
2020-06-03,228.91
2020-06-04,224.39
2020-06-05,238.05
2020-06-08,237.98
2020-06-09,235.0
2020-06-10,239.8
2020-06-11,232.15
2020-06-12,235.0
2020-06-15,234.55
2020-06-16,235.83
2020-06-17,242.21
2020-06-18,242.18
2020-06-19,252.32
2020-06-22,251.15
2020-06-23,253.68
2020-06-24,247.5
2020-06-25,250.99
2020-06-26,244.38
2020-06-29,246.09
2020-06-30,252.01
2020-07-01,252.96
2020-07-02,250.16
2020-07-06,253.2
2020-07-07,252.25
2020-07-08,255.66
2020-07-09,262.1
2020-07-10,261.14
2020-07-13,252.54
2020-07-14,253.61
2020-07-15,260.07
2020-07-16,258.22
2020-07-17,264.69
2020-07-20,278.86
2020-07-21,278.52
2020-07-22,278.13
2020-07-23,278.22
2020-07-24,274.1
2020-07-27,280.05
2020-07-28,276.93
2020-07-29,284.51
2020-07-30,287.05
2020-07-31,290.08
2020-08-03,291.75
2020-08-04,291.47
2020-08-05,294.11
2020-08-06,297.48
2020-08-07,298.0
2020-08-10,298.73
2020-08-11,295.94
2020-08-12,312.2
2020-08-13,308.72
2020-08-14,307.97
2020-08-17,308.38
2020-08-18,304.05
2020-08-19,303.76
2020-08-20,302.79
2020-08-21,308.56
2020-08-24,313.43
2020-08-25,319.3
2020-08-26,323.01
2020-08-27,323.73
2020-08-28,326.28
2020-08-31,327.1
2020-09-01,334.78
2020-09-02,337.74
2020-09-03,324.5
2020-09-04,316.3
2020-09-08,309.35
2020-09-09,318.92
2020-09-10,318.47
2020-09-11,314.95
2020-09-14,324.62
2020-09-15,334.92
2020-09-16,329.71
2020-09-17,322.2
2020-09-18,316.19
2020-09-21,314.3
2020-09-22,321.73
2020-09-23,314.75
2020-09-24,314.98
2020-09-25,322.95
2020-09-28,328.96
2020-09-29,325.56
2020-09-30,323.28
2020-10-01,334.12
2020-10-02,326.92
2020-10-05,333.78
2020-10-06,335.34
2020-10-07,344.32
2020-10-08,334.64
2020-10-09,337.25
2020-10-12,345.08
2020-10-13,348.76
2020-10-14,346.89
2020-10-15,349.04
2020-10-16,350.57
2020-10-19,342.58
2020-10-20,345.66
2020-10-21,347.36
2020-10-22,337.26
2020-10-23,339.05
2020-10-26,328.44
2020-10-27,326.78
2020-10-28,315.67
2020-10-29,317.02
2020-10-30,308.95
2020-11-02,313.7
2020-11-03,314.12
2020-11-04,328.86
2020-11-05,346.63
2020-11-06,342.23
2020-11-09,318.54
2020-11-10,312.6
2020-11-11,326.97
