Date,TTD
6/3/20,35.50
6/4/20,33.72
6/5/20,35.43
6/8/20,35.83
6/9/20,36.30
6/10/20,36.85
6/11/20,34.75
6/12/20,35.45
6/15/20,37.06
6/16/20,37.20
6/17/20,38.24
6/18/20,39.44
6/19/20,39.48
6/22/20,40.28
6/23/20,41.00
6/24/20,39.64
6/25/20,40.97
6/26/20,40.70
6/29/20,40.62
6/30/20,40.65
7/1/20,42.91
7/2/20,44.29
7/6/20,44.71
7/7/20,45.07
7/8/20,46.25
7/9/20,46.30
7/10/20,46.20
7/13/20,43.06
7/14/20,43.20
7/15/20,43.64
7/16/20,42.91
7/17/20,43.30
7/20/20,45.76
7/21/20,44.41
7/22/20,44.33
7/23/20,42.44
7/24/20,42.61
7/27/20,43.22
7/28/20,41.95
7/29/20,42.78
7/30/20,43.03
7/31/20,45.13
8/3/20,47.53
8/4/20,48.11
8/5/20,49.60
8/6/20,48.08
8/7/20,49.32
8/10/20,46.57
8/11/20,44.56
8/12/20,46.00
8/13/20,47.18
8/14/20,46.56
8/17/20,47.49
8/18/20,46.91
8/19/20,46.40
8/20/20,47.03
8/21/20,46.18
8/24/20,46.67
8/25/20,46.99
8/26/20,48.10
8/27/20,47.41
8/28/20,48.57
8/31/20,48.13
9/1/20,50.14
9/2/20,51.50
9/3/20,46.47
9/4/20,44.13
9/8/20,42.01
9/9/20,43.30
9/10/20,42.71
9/11/20,41.86
9/14/20,42.75
9/15/20,44.53
9/16/20,44.13
9/17/20,42.88
9/18/20,43.58
9/21/20,46.15
9/22/20,46.77
9/23/20,45.73
9/24/20,45.32
9/25/20,47.32
9/28/20,48.76
9/29/20,49.83
9/30/20,51.88
10/1/20,55.52
10/2/20,55.65
10/5/20,57.39
10/6/20,58.53
10/7/20,59.34
10/8/20,60.56
10/9/20,61.31
10/12/20,62.67
10/13/20,65.07
10/14/20,65.40
10/15/20,60.00
10/16/20,60.50
10/19/20,61.83
10/20/20,61.23
10/21/20,62.47
10/22/20,60.69
10/23/20,61.99
10/26/20,60.83
10/27/20,61.34
10/28/20,59.65
10/29/20,61.80
10/30/20,56.65
11/2/20,55.92
11/3/20,58.61
11/4/20,63.24
11/5/20,64.73
11/6/20,81.93
11/9/20,76.14
11/10/20,70.73
11/11/20,74.20
11/12/20,74.00
11/13/20,73.48
11/16/20,74.61
11/17/20,79.51
11/18/20,77.24
11/19/20,80.59
11/20/20,82.70
11/23/20,83.96
11/24/20,84.41
11/25/20,86.23
11/27/20,87.31
11/30/20,90.11
12/1/20,89.01
12/2/20,86.69
12/3/20,88.72
12/4/20,90.38
12/7/20,91.26
12/8/20,91.50
12/9/20,88.53
12/10/20,91.76
12/11/20,92.61
12/14/20,92.24
12/15/20,93.31
12/16/20,93.97
12/17/20,94.24
12/18/20,95.15
12/21/20,93.55
12/22/20,97.11
12/23/20,92.40
12/24/20,93.18
12/28/20,83.26
12/29/20,82.03
12/30/20,81.80
12/31/20,80.10
1/4/21,77.34
1/5/21,78.85
1/6/21,74.06
1/7/21,76.30
1/8/21,79.58
1/11/21,77.93
1/12/21,80.56
1/13/21,78.54
1/14/21,77.53
1/15/21,78.54
1/19/21,78.06
1/20/21,81.10
1/21/21,81.30
1/22/21,81.30
1/25/21,78.56
1/26/21,77.63
1/27/21,75.63
1/28/21,79.45
1/29/21,76.60
2/1/21,79.32
2/2/21,83.14
2/3/21,83.92
2/4/21,85.40
2/5/21,85.51
2/8/21,85.23
2/9/21,86.46
2/10/21,86.19
2/11/21,86.68
2/12/21,86.40
2/16/21,86.90
2/17/21,84.44
2/18/21,84.65
2/19/21,90.33
2/22/21,84.52
2/23/21,79.11
2/24/21,78.10
2/25/21,75.46
2/26/21,80.54
3/1/21,83.23
3/2/21,79.79
3/3/21,69.59
3/4/21,64.02
3/5/21,65.42
3/8/21,67.89
3/9/21,71.93
3/10/21,72.26
3/11/21,75.65
3/12/21,75.12
3/15/21,75.83
3/16/21,76.89
3/17/21,77.15
3/18/21,70.01
3/19/21,73.32
3/22/21,74.08
3/23/21,72.43
3/24/21,66.81
3/25/21,65.34
3/26/21,67.12
3/29/21,61.26
3/30/21,62.59
3/31/21,65.17
4/1/21,65.88
4/5/21,65.32
4/6/21,66.96
