,Date,AAPL
412,2018-10-22,55.16
413,2018-10-23,55.68
414,2018-10-24,53.77
415,2018-10-25,54.95
416,2018-10-26,54.08
417,2018-10-29,53.06
418,2018-10-30,53.33
419,2018-10-31,54.72
420,2018-11-01,55.56
421,2018-11-02,51.87
422,2018-11-05,50.4
423,2018-11-06,50.94
424,2018-11-07,52.49
425,2018-11-08,52.12
426,2018-11-09,51.12
427,2018-11-12,48.54
428,2018-11-13,48.06
429,2018-11-14,46.7
430,2018-11-15,47.85
431,2018-11-16,48.38
432,2018-11-19,46.47
433,2018-11-20,44.24
434,2018-11-21,44.19
435,2018-11-23,43.07
436,2018-11-26,43.65
437,2018-11-27,43.56
438,2018-11-28,45.24
439,2018-11-29,44.89
440,2018-11-30,44.65
441,2018-12-03,46.21
442,2018-12-04,44.17
443,2018-12-06,43.68
444,2018-12-07,42.12
445,2018-12-10,42.4
446,2018-12-11,42.16
447,2018-12-12,42.28
448,2018-12-13,42.74
449,2018-12-14,41.37
450,2018-12-17,40.99
451,2018-12-18,41.52
452,2018-12-19,40.22
453,2018-12-20,39.21
454,2018-12-21,37.68
455,2018-12-24,36.71
456,2018-12-26,39.29
457,2018-12-27,39.04
458,2018-12-28,39.06
459,2018-12-31,39.44
460,2019-01-02,39.48
461,2019-01-03,35.55
462,2019-01-04,37.06
463,2019-01-07,36.98
464,2019-01-08,37.69
465,2019-01-09,38.33
466,2019-01-10,38.45
467,2019-01-11,38.07
468,2019-01-14,37.5
469,2019-01-15,38.27
470,2019-01-16,38.74
471,2019-01-17,38.97
472,2019-01-18,39.21
473,2019-01-22,38.33
474,2019-01-23,38.48
475,2019-01-24,38.17
476,2019-01-25,39.44
477,2019-01-28,39.08
478,2019-01-29,38.67
479,2019-01-30,41.31
480,2019-01-31,41.61
481,2019-02-01,41.63
482,2019-02-04,42.81
483,2019-02-05,43.54
484,2019-02-06,43.56
485,2019-02-07,42.74
486,2019-02-08,42.6
487,2019-02-11,42.36
488,2019-02-12,42.72
489,2019-02-13,42.54
490,2019-02-14,42.7
491,2019-02-15,42.6
492,2019-02-19,42.73
493,2019-02-20,43.01
494,2019-02-21,42.76
495,2019-02-22,43.24
496,2019-02-25,43.56
497,2019-02-26,43.58
498,2019-02-27,43.72
499,2019-02-28,43.29
500,2019-03-01,43.74
501,2019-03-04,43.96
502,2019-03-05,43.88
503,2019-03-06,43.63
504,2019-03-07,43.12
505,2019-03-08,43.23
506,2019-03-11,44.72
507,2019-03-12,45.23
508,2019-03-13,45.43
509,2019-03-14,45.93
510,2019-03-15,46.53
511,2019-03-18,47.01
512,2019-03-19,46.63
513,2019-03-20,47.04
514,2019-03-21,48.77
515,2019-03-22,47.76
516,2019-03-25,47.19
517,2019-03-26,46.7
518,2019-03-27,47.12
519,2019-03-28,47.18
520,2019-03-29,47.49
521,2019-04-01,47.81
522,2019-04-02,48.51
523,2019-04-03,48.84
524,2019-04-04,48.92
525,2019-04-05,49.25
526,2019-04-08,50.03
527,2019-04-09,49.88
528,2019-04-10,50.15
529,2019-04-11,49.74
530,2019-04-12,49.72
531,2019-04-15,49.81
532,2019-04-16,49.81
533,2019-04-17,50.78
534,2019-04-18,50.97
535,2019-04-22,51.13
536,2019-04-23,51.87
537,2019-04-24,51.79
538,2019-04-25,51.32
539,2019-04-26,51.08
540,2019-04-29,51.15
541,2019-04-30,50.17
542,2019-05-01,52.63
543,2019-05-02,52.29
544,2019-05-03,52.94
