Date,APTV
7/28/20,82.17
7/29/20,83.67
7/30/20,80.46
7/31/20,77.75
8/3/20,79.72
8/4/20,81.02
8/5/20,83.84
8/6/20,84.53
8/7/20,83.86
8/10/20,86.44
8/11/20,88.84
8/12/20,89.50
8/13/20,88.63
8/14/20,88.34
8/17/20,88.16
8/18/20,87.24
8/19/20,85.42
8/20/20,84.49
8/21/20,83.88
8/24/20,85.50
8/25/20,85.36
8/26/20,85.44
8/27/20,85.34
8/28/20,87.25
8/31/20,86.12
9/1/20,87.05
9/2/20,90.00
9/3/20,86.76
9/4/20,86.21
9/8/20,84.66
9/9/20,85.65
9/10/20,84.09
9/11/20,84.55
9/14/20,85.89
9/15/20,86.01
9/16/20,84.97
9/17/20,83.29
9/18/20,88.95
9/21/20,84.56
9/22/20,84.51
9/23/20,83.95
9/24/20,84.33
9/25/20,86.40
9/28/20,90.03
9/29/20,91.92
9/30/20,91.68
10/1/20,93.96
10/2/20,93.56
10/5/20,97.20
10/6/20,94.48
10/7/20,99.19
10/8/20,97.97
10/9/20,98.06
10/12/20,98.26
10/13/20,96.07
10/14/20,95.74
10/15/20,97.68
10/16/20,98.20
10/19/20,99.40
10/20/20,100.19
10/21/20,99.41
10/22/20,100.15
10/23/20,100.29
10/26/20,98.19
10/27/20,96.29
10/28/20,93.57
10/29/20,98.32
10/30/20,96.49
11/2/20,97.88
11/3/20,101.79
11/4/20,99.25
11/5/20,104.78
11/6/20,104.48
11/9/20,106.69
11/10/20,108.84
11/11/20,111.03
11/12/20,108.82
11/13/20,109.91
11/16/20,114.47
11/17/20,114.44
11/18/20,115.05
11/19/20,115.36
11/20/20,114.32
11/23/20,116.60
11/24/20,121.66
11/25/20,118.47
11/27/20,121.86
11/30/20,118.70
12/1/20,122.21
12/2/20,121.00
12/3/20,121.16
12/4/20,123.35
12/7/20,123.46
12/8/20,123.07
12/9/20,123.73
12/10/20,124.15
12/11/20,122.24
12/14/20,121.65
12/15/20,122.61
12/16/20,122.84
12/17/20,124.89
12/18/20,124.30
12/21/20,123.32
12/22/20,125.04
12/23/20,128.35
12/24/20,128.42
12/28/20,128.14
12/29/20,128.07
12/30/20,130.79
12/31/20,130.29
1/4/21,129.51
1/5/21,133.39
1/6/21,138.11
1/7/21,144.80
1/8/21,145.56
1/11/21,145.08
1/12/21,151.09
1/13/21,146.06
1/14/21,144.22
1/15/21,142.75
1/19/21,142.57
1/20/21,145.12
1/21/21,143.85
1/22/21,139.49
1/25/21,139.01
1/26/21,135.70
1/27/21,127.96
1/28/21,133.42
1/29/21,133.60
2/1/21,138.77
2/2/21,141.26
2/3/21,143.15
2/4/21,142.15
2/5/21,147.13
2/8/21,148.77
2/9/21,148.28
2/10/21,149.89
2/11/21,153.95
2/12/21,156.29
2/16/21,155.09
2/17/21,156.57
2/18/21,149.35
2/19/21,153.80
2/22/21,156.99
2/23/21,151.66
2/24/21,155.22
