,y
2018-09-13,30.22
2018-09-14,30.38
2018-09-17,30.64
2018-09-18,30.85
2018-09-19,31.52
2018-09-20,31.5
2018-09-21,31.56
2018-09-24,31.09
2018-09-25,31.25
2018-09-26,29.87
2018-09-27,29.98
2018-09-28,30.2
2018-10-01,30.35
2018-10-02,31.17
2018-10-03,30.48
2018-10-04,30.37
2018-10-05,30.58
2018-10-08,30.52
2018-10-09,30.11
2018-10-10,30.56
2018-10-11,32.72
2018-10-12,32.04
2018-10-15,32.66
2018-10-16,32.29
2018-10-17,32.11
2018-10-18,32.37
2018-10-19,32.19
2018-10-22,31.97
2018-10-23,32.41
2018-10-24,31.76
2018-10-25,29.6
2018-10-26,30.0
2018-10-29,30.76
2018-10-30,31.0
2018-10-31,30.92
2018-11-01,32.06
2018-11-02,32.42
2018-11-05,32.39
2018-11-06,32.31
2018-11-07,32.5
2018-11-08,32.42
2018-11-09,32.02
2018-11-12,31.53
2018-11-13,31.41
2018-11-14,32.4
2018-11-15,32.86
2018-11-16,33.32
2018-11-19,32.79
2018-11-20,32.9
2018-11-21,33.59
2018-11-23,32.46
2018-11-26,32.47
2018-11-27,31.96
2018-11-28,32.69
2018-11-29,32.34
2018-11-30,32.34
2018-12-03,33.22
2018-12-04,33.79
2018-12-06,32.66
2018-12-07,33.39
2018-12-10,33.53
2018-12-11,33.34
2018-12-12,34.08
2018-12-13,34.04
2018-12-14,33.31
2018-12-17,33.61
2018-12-18,34.16
2018-12-19,32.09
2018-12-20,34.09
2018-12-21,33.53
2018-12-24,34.58
2018-12-26,34.53
2018-12-27,34.99
2018-12-28,34.47
2018-12-31,34.65
2019-01-02,34.48
2019-01-03,34.38
2019-01-04,34.38
2019-01-07,33.97
2019-01-08,34.07
2019-01-09,34.37
2019-01-10,34.82
2019-01-11,34.88
2019-01-14,31.78
2019-01-15,31.02
2019-01-16,31.56
2019-01-17,31.62
2019-01-18,31.77
2019-01-22,32.1
2019-01-23,32.2
2019-01-24,32.18
2019-01-25,33.16
2019-01-28,32.91
2019-01-29,33.54
2019-01-30,33.71
2019-01-31,34.11
2019-02-01,33.84
2019-02-04,34.16
2019-02-05,34.12
2019-02-06,33.98
2019-02-07,33.73
2019-02-08,33.84
2019-02-11,33.65
2019-02-12,33.39
2019-02-13,33.23
2019-02-14,33.11
2019-02-15,33.24
2019-02-19,34.53
2019-02-20,35.39
2019-02-21,35.41
2019-02-22,36.48
2019-02-25,36.1
2019-02-26,34.95
2019-02-27,34.02
2019-02-28,34.12
2019-03-01,33.82
2019-03-04,34.45
2019-03-05,34.5
2019-03-06,33.14
2019-03-07,33.22
2019-03-08,33.71
2019-03-11,33.45
2019-03-12,34.52
2019-03-13,34.41
2019-03-14,33.42
2019-03-15,33.14
2019-03-18,33.0
2019-03-19,33.28
2019-03-20,33.87
2019-03-21,34.33
2019-03-22,34.5
2019-03-25,34.9
2019-03-26,35.56
2019-03-27,35.71
2019-03-28,35.57
2019-03-29,35.77
2019-04-01,35.61
2019-04-02,35.83
2019-04-03,35.95
2019-04-04,36.48
2019-04-05,36.5
2019-04-08,36.66
2019-04-09,36.6
2019-04-10,36.27
2019-04-11,35.97
2019-04-12,36.25
2019-04-15,36.17
2019-04-16,34.79
2019-04-17,34.18
2019-04-18,33.04
2019-04-22,32.55
2019-04-23,32.37
2019-04-24,32.2
2019-04-25,31.63
2019-04-26,31.46
2019-04-29,30.76
2019-04-30,31.06
2019-05-01,30.32
2019-05-02,30.1
2019-05-03,30.22
2019-05-06,29.94
2019-05-07,30.72
2019-05-08,30.2
2019-05-09,29.93
2019-05-10,30.15
2019-05-13,30.91
2019-05-14,30.83
2019-05-15,30.69
2019-05-16,30.55
2019-05-17,30.92
2019-05-20,31.17
