Date,NEM
1/8/20,42.08
1/9/20,41.66
1/10/20,42.27
1/13/20,42.45
1/14/20,42.83
1/15/20,43.52
1/16/20,43.82
1/17/20,43.48
1/21/20,43.71
1/22/20,43.78
1/23/20,43.70
1/24/20,44.29
1/27/20,44.56
1/28/20,44.30
1/29/20,44.62
1/30/20,44.97
1/31/20,45.06
2/3/20,45.59
2/4/20,44.23
2/5/20,44.30
2/6/20,44.39
2/7/20,44.02
2/10/20,44.42
2/11/20,44.22
2/12/20,43.89
2/13/20,44.01
2/14/20,44.07
2/18/20,45.58
2/19/20,46.17
2/20/20,48.10
2/21/20,49.44
2/24/20,50.26
2/25/20,49.14
2/26/20,49.40
2/27/20,46.53
2/28/20,44.63
3/2/20,46.83
3/3/20,49.73
3/4/20,51.00
3/5/20,52.08
3/6/20,52.35
3/9/20,47.78
3/10/20,48.38
3/11/20,46.02
3/12/20,44.44
3/13/20,39.50
3/16/20,40.73
3/17/20,45.80
3/18/20,41.57
3/19/20,41.74
3/20/20,40.56
3/23/20,41.66
3/24/20,47.50
3/25/20,47.54
3/26/20,48.28
3/27/20,46.35
3/30/20,46.36
3/31/20,45.28
4/1/20,46.47
4/2/20,48.23
4/3/20,47.15
4/6/20,50.11
4/7/20,49.96
4/8/20,50.53
4/9/20,57.31
4/13/20,59.77
4/14/20,59.89
4/15/20,58.22
4/16/20,59.90
4/17/20,59.23
4/20/20,59.54
4/21/20,59.27
4/22/20,61.73
4/23/20,62.44
4/24/20,63.11
4/27/20,62.61
4/28/20,62.67
4/29/20,62.35
4/30/20,59.48
5/1/20,60.99
5/4/20,62.74
5/5/20,64.91
5/6/20,62.43
5/7/20,64.56
5/8/20,64.55
5/11/20,62.95
5/12/20,62.48
5/13/20,63.89
5/14/20,66.64
5/15/20,67.90
5/18/20,66.26
5/19/20,67.38
5/20/20,65.72
5/21/20,63.48
5/22/20,63.05
5/26/20,59.21
5/27/20,58.73
5/28/20,58.72
5/29/20,58.47
6/1/20,60.49
6/2/20,58.47
6/3/20,56.02
6/4/20,55.90
6/5/20,54.76
6/8/20,55.54
6/9/20,57.17
6/10/20,58.73
6/11/20,56.04
6/12/20,55.45
6/15/20,56.85
6/16/20,55.95
6/17/20,55.58
6/18/20,55.53
6/19/20,56.92
6/22/20,58.22
6/23/20,58.91
6/24/20,58.41
6/25/20,58.59
6/26/20,59.34
6/29/20,59.54
6/30/20,61.74
7/1/20,61.36
7/2/20,60.96
7/6/20,61.18
7/7/20,62.47
7/8/20,63.43
7/9/20,62.73
7/10/20,61.88
7/13/20,59.54
7/14/20,61.77
7/15/20,62.14
7/16/20,61.55
7/17/20,62.92
7/20/20,64.19
7/21/20,64.29
7/22/20,65.47
7/23/20,65.77
7/24/20,66.75
7/27/20,69.04
7/28/20,68.59
7/29/20,67.89
7/30/20,65.66
7/31/20,69.20
8/3/20,68.15
8/4/20,70.25
8/5/20,70.37
8/6/20,70.11
8/7/20,68.91
8/10/20,67.89
8/11/20,62.87
8/12/20,62.99
8/13/20,64.11
8/14/20,63.85
8/17/20,68.35
8/18/20,67.70
8/19/20,65.98
8/20/20,67.23
8/21/20,65.57
8/24/20,65.20
8/25/20,64.86
8/26/20,65.67
8/27/20,64.76
8/28/20,66.71
8/31/20,67.28
9/1/20,67.02
9/2/20,67.53
9/3/20,66.13
9/4/20,65.35
9/8/20,65.77
9/9/20,68.17
9/10/20,66.49
9/11/20,66.22
9/14/20,67.38
9/15/20,67.55
9/16/20,67.29
9/17/20,66.32
9/18/20,64.71
9/21/20,63.67
9/22/20,63.45
9/23/20,60.22
9/24/20,61.44
9/25/20,61.42
9/28/20,62.13
9/29/20,62.77
9/30/20,63.45
10/1/20,62.83
10/2/20,62.29
10/5/20,63.13
10/6/20,60.82
10/7/20,61.17
10/8/20,61.72
10/9/20,62.82
10/12/20,62.93
10/13/20,62.76
10/14/20,64.00
10/15/20,63.00
10/16/20,62.67
10/19/20,61.71
10/20/20,61.19
10/21/20,61.48
10/22/20,60.54
10/23/20,60.47
10/26/20,60.32
10/27/20,61.65
10/28/20,58.65
10/29/20,60.34
10/30/20,62.84
11/2/20,64.73
11/3/20,66.67
11/4/20,65.08
11/5/20,67.85
11/6/20,68.14
11/9/20,66.01
11/10/20,64.89
11/11/20,65.63
11/12/20,65.02
11/13/20,65.71
11/16/20,65.67
11/17/20,64.53
11/18/20,61.56
11/19/20,61.41
11/20/20,61.65
11/23/20,58.68
11/24/20,56.87
11/25/20,57.78
11/27/20,58.48
11/30/20,58.82
12/1/20,60.21
12/2/20,59.96
12/3/20,59.51
12/4/20,59.44
12/7/20,61.44
12/8/20,61.51
12/9/20,59.98
12/10/20,59.18
12/11/20,58.87
12/14/20,57.56
12/15/20,59.04
12/16/20,60.24
12/17/20,61.64
12/18/20,60.50
12/21/20,60.72
12/22/20,59.41
12/23/20,59.78
12/24/20,60.48
12/28/20,59.82
12/29/20,59.73
12/30/20,60.39
12/31/20,59.89
1/4/21,63.15
1/5/21,63.43
1/6/21,65.24
1/7/21,65.14
1/8/21,62.79
1/11/21,61.95
1/12/21,62.49
1/13/21,62.07
1/14/21,63.33
1/15/21,61.86
1/19/21,61.85
1/20/21,63.52
1/21/21,62.31
1/22/21,61.75
1/25/21,61.64
1/26/21,61.48
1/27/21,58.89
1/28/21,59.73
1/29/21,59.60
2/1/21,59.88
2/2/21,59.63
2/3/21,58.91
2/4/21,57.66
2/5/21,59.30
2/8/21,60.42
2/9/21,60.01
2/10/21,59.70
2/11/21,58.38
2/12/21,58.94
2/16/21,57.80
2/17/21,56.99
2/18/21,57.36
2/19/21,56.67
2/22/21,57.49
2/23/21,56.84
2/24/21,57.08
2/25/21,56.12
2/26/21,54.38
3/1/21,54.65
3/2/21,56.80
3/3/21,55.33
3/4/21,55.42
3/5/21,56.74
3/8/21,56.39
3/9/21,57.25
3/10/21,58.18
3/11/21,58.45
3/12/21,58.99
3/15/21,61.42
3/16/21,61.82
3/17/21,62.97
3/18/21,62.26
3/19/21,61.93
3/22/21,60.89
3/23/21,60.12
3/24/21,60.37
3/25/21,59.88
3/26/21,61.50
3/29/21,62.16
3/30/21,59.88
3/31/21,60.27
4/1/21,61.81
4/5/21,62.49
4/6/21,62.80
4/7/21,62.01
4/8/21,61.80
4/9/21,61.51
4/12/21,60.61
4/13/21,62.25
4/14/21,61.85
4/15/21,64.78
4/16/21,65.41
4/19/21,64.85
4/20/21,65.84
4/21/21,66.82
4/22/21,65.70
4/23/21,65.72
4/26/21,65.28
4/27/21,64.21
4/28/21,64.20
4/29/21,62.31
4/30/21,62.41
5/3/21,64.46
5/4/21,64.02
5/5/21,64.84
5/6/21,66.89
5/7/21,67.33
5/10/21,68.35
5/11/21,68.78
5/12/21,67.86
5/13/21,68.92
5/14/21,70.75
5/17/21,74.00
5/18/21,74.38
5/19/21,73.66
5/20/21,73.85
5/21/21,73.53
5/24/21,74.08
5/25/21,73.20
5/26/21,73.19
5/27/21,73.09
5/28/21,73.48
6/1/21,73.95
6/2/21,72.70
6/3/21,71.06
6/4/21,71.45
6/7/21,71.51
6/8/21,69.93
6/9/21,69.99
6/10/21,71.06
6/11/21,70.31
6/14/21,69.83
6/15/21,69.08
6/16/21,68.45
6/17/21,63.67
6/18/21,62.62
6/21/21,63.43
6/22/21,62.92
6/23/21,62.66
6/24/21,62.30
6/25/21,62.68
6/28/21,62.65
6/29/21,62.58
6/30/21,63.38
7/1/21,62.86
7/2/21,63.36
7/6/21,63.89
7/7/21,63.63
7/8/21,62.76
7/9/21,63.98
7/12/21,63.19
7/13/21,63.37
7/14/21,63.36
7/15/21,63.49
7/16/21,61.73
7/19/21,60.69
7/20/21,60.44
7/21/21,60.36
7/22/21,60.21
7/23/21,60.11
7/26/21,60.39
7/27/21,61.32
7/28/21,61.88
7/29/21,62.72
7/30/21,62.82
8/2/21,61.98
8/3/21,62.65
8/4/21,61.86
8/5/21,61.25
8/6/21,59.82
8/9/21,58.84
