,Date,AAPL
278,2018-04-12,43.53499985
279,2018-04-13,43.68249893
280,2018-04-16,43.95500183
281,2018-04-17,44.56000137
282,2018-04-18,44.45999908
283,2018-04-19,43.20000076
284,2018-04-20,41.43000031
285,2018-04-23,41.31000137
286,2018-04-24,40.73500061
287,2018-04-25,40.91249847
288,2018-04-26,41.05500031
289,2018-04-27,40.58000183
290,2018-04-30,41.31499863
291,2018-05-01,42.27500153
292,2018-05-02,44.14250183
293,2018-05-03,44.22249985
294,2018-05-04,45.95750046
295,2018-05-07,46.29000092
296,2018-05-08,46.51250076
297,2018-05-09,46.84000015
298,2018-05-10,47.50999832
299,2018-05-11,47.14749908
300,2018-05-14,47.03749847
301,2018-05-15,46.61000061
302,2018-05-16,47.04499817
303,2018-05-17,46.74750137
304,2018-05-18,46.57749939
305,2018-05-21,46.90750122
306,2018-05-22,46.79000092
307,2018-05-23,47.09000015
308,2018-05-24,47.03749847
309,2018-05-25,47.14500046
310,2018-05-29,46.97499847
311,2018-05-30,46.875
312,2018-05-31,46.71749878
313,2018-06-01,47.56000137
314,2018-06-04,47.95750046
315,2018-06-05,48.32749939
316,2018-06-06,48.49499893
317,2018-06-07,48.36500168
318,2018-06-08,47.92499924
319,2018-06-11,47.80749893
320,2018-06-12,48.06999969
321,2018-06-13,47.67499924
322,2018-06-14,47.70000076
323,2018-06-15,47.20999908
324,2018-06-18,47.18500137
325,2018-06-19,46.42250061
326,2018-06-20,46.625
327,2018-06-21,46.36500168
328,2018-06-22,46.22999954
329,2018-06-25,45.54249954
330,2018-06-26,46.10749817
331,2018-06-27,46.04000092
332,2018-06-28,46.375
333,2018-06-29,46.27750015
334,2018-07-02,46.79499817
335,2018-07-03,45.97999954
336,2018-07-05,46.34999847
337,2018-07-06,46.99250031
338,2018-07-09,47.64500046
339,2018-07-10,47.58750153
340,2018-07-11,46.97000122
341,2018-07-12,47.75749969
342,2018-07-13,47.83250046
343,2018-07-16,47.72750092
344,2018-07-17,47.86249924
345,2018-07-18,47.59999847
346,2018-07-19,47.97000122
347,2018-07-20,47.86000061
348,2018-07-23,47.90250015
349,2018-07-24,48.25
350,2018-07-25,48.70500183
351,2018-07-26,48.55250168
352,2018-07-27,47.74499893
353,2018-07-30,47.47750092
354,2018-07-31,47.57249832
355,2018-08-01,50.375
356,2018-08-02,51.84749985
357,2018-08-03,51.99750137
358,2018-08-06,52.26750183
359,2018-08-07,51.77750015
360,2018-08-08,51.8125
361,2018-08-09,52.22000122
362,2018-08-10,51.88249969
363,2018-08-13,52.21749878
364,2018-08-14,52.4375
365,2018-08-15,52.56000137
366,2018-08-16,53.33000183
367,2018-08-17,54.39500046
368,2018-08-20,53.86500168
369,2018-08-21,53.75999832
370,2018-08-22,53.76250076
371,2018-08-23,53.87250137
372,2018-08-24,54.04000092
373,2018-08-27,54.48500061
374,2018-08-28,54.92499924
375,2018-08-29,55.74499893
376,2018-08-30,56.25749969
377,2018-08-31,56.90750122
378,2018-09-04,57.09000015
379,2018-09-05,56.71749878
380,2018-09-06,55.77500153
381,2018-09-07,55.32500076
382,2018-09-10,54.58250046
383,2018-09-11,55.96250153
384,2018-09-12,55.26750183
385,2018-09-13,56.60250092
386,2018-09-14,55.95999908
387,2018-09-17,54.47000122
388,2018-09-18,54.56000137
389,2018-09-19,54.59249878
390,2018-09-20,55.00749969
391,2018-09-21,54.41500092
392,2018-09-24,55.19749832
393,2018-09-25,55.54750061
394,2018-09-26,55.10499954
395,2018-09-27,56.23749924
396,2018-09-28,56.43500137
397,2018-10-01,56.81499863
398,2018-10-02,57.31999969
399,2018-10-03,58.01750183
400,2018-10-04,56.99750137
401,2018-10-05,56.07249832
402,2018-10-08,55.94250107
403,2018-10-09,56.71749878
404,2018-10-10,54.09000015
405,2018-10-11,53.61249924
406,2018-10-12,55.52750015
407,2018-10-15,54.34000015
408,2018-10-16,55.53749847
409,2018-10-17,55.29750061
410,2018-10-18,54.00500107
411,2018-10-19,54.82749939
412,2018-10-22,55.16249847
413,2018-10-23,55.68249893
414,2018-10-24,53.77249908
415,2018-10-25,54.95000076
416,2018-10-26,54.07500076
417,2018-10-29,53.06000137
418,2018-10-30,53.32500076
419,2018-10-31,54.71500015
420,2018-11-01,55.55500031
421,2018-11-02,51.86999893
422,2018-11-05,50.39749908
423,2018-11-06,50.94250107
424,2018-11-07,52.48749924
425,2018-11-08,52.12250137
426,2018-11-09,51.11750031
427,2018-11-12,48.54249954
428,2018-11-13,48.05749893
429,2018-11-14,46.70000076
430,2018-11-15,47.85250092
431,2018-11-16,48.38249969
432,2018-11-19,46.46500015
433,2018-11-20,44.24499893
434,2018-11-21,44.19499969
