Date,SWK
3/14/19,131.98
3/15/19,131.51
3/18/19,134.19
3/19/19,133.32
3/20/19,131.85
3/21/19,134.60
3/22/19,130.90
3/25/19,131.67
3/26/19,132.05
3/27/19,132.36
3/28/19,134.57
3/29/19,136.17
4/1/19,139.51
4/2/19,139.30
4/3/19,140.75
4/4/19,142.94
4/5/19,142.79
4/8/19,144.00
4/9/19,141.87
4/10/19,142.46
4/11/19,144.38
4/12/19,146.17
4/15/19,146.61
4/16/19,145.82
4/17/19,144.62
4/18/19,145.74
4/22/19,145.43
4/23/19,147.45
4/24/19,145.97
4/25/19,143.49
4/26/19,146.30
4/29/19,147.32
4/30/19,146.60
5/1/19,148.38
5/2/19,149.97
5/3/19,153.08
5/6/19,146.40
5/7/19,143.63
5/8/19,143.95
5/9/19,142.52
5/10/19,142.19
5/13/19,135.75
5/14/19,135.49
5/15/19,135.08
5/16/19,138.36
5/17/19,134.85
5/20/19,135.12
5/21/19,136.90
5/22/19,135.57
5/23/19,131.87
5/24/19,132.80
5/28/19,129.37
5/29/19,130.22
5/30/19,131.05
5/31/19,127.22
6/3/19,127.28
6/4/19,132.50
6/5/19,134.85
6/6/19,136.21
6/7/19,137.69
6/10/19,139.48
6/11/19,140.01
6/12/19,140.98
6/13/19,142.91
6/14/19,141.51
6/17/19,140.80
6/18/19,144.56
6/19/19,143.47
6/20/19,146.36
6/21/19,143.45
6/24/19,143.13
6/25/19,141.70
6/26/19,143.05
6/27/19,143.18
6/28/19,144.61
7/1/19,147.24
7/2/19,146.61
7/3/19,147.02
7/5/19,146.52
7/8/19,144.90
7/9/19,144.24
7/10/19,142.97
7/11/19,144.00
7/12/19,147.15
7/15/19,146.66
7/16/19,147.08
7/17/19,142.84
7/18/19,142.49
7/19/19,143.55
7/22/19,141.50
7/23/19,151.66
7/24/19,152.51
7/25/19,152.20
7/26/19,152.40
7/29/19,150.92
7/30/19,151.41
7/31/19,147.59
8/1/19,142.22
8/2/19,140.81
8/5/19,135.82
8/6/19,137.53
8/7/19,137.11
8/8/19,139.40
8/9/19,137.27
8/12/19,134.16
8/13/19,137.40
8/14/19,131.20
8/15/19,131.45
8/16/19,133.82
8/19/19,136.28
8/20/19,136.03
8/21/19,138.49
8/22/19,138.68
8/23/19,131.10
8/26/19,131.44
8/27/19,129.62
8/28/19,130.31
8/29/19,133.28
8/30/19,132.86
9/3/19,128.85
9/4/19,130.10
9/5/19,136.32
9/6/19,137.83
9/9/19,143.14
9/10/19,147.45
9/11/19,147.17
9/12/19,147.12
9/13/19,146.25
9/16/19,143.63
9/17/19,144.38
9/18/19,143.57
9/19/19,143.04
9/20/19,141.11
9/23/19,140.85
9/24/19,138.29
9/25/19,142.32
9/26/19,142.55
9/27/19,143.09
9/30/19,144.41
10/1/19,139.33
10/2/19,136.30
10/3/19,137.58
10/4/19,140.97
10/7/19,138.83
10/8/19,135.09
10/9/19,137.97
10/10/19,140.43
10/11/19,146.73
10/14/19,147.33
10/15/19,148.74
10/16/19,147.39
10/17/19,148.77
10/18/19,149.89
10/21/19,150.80
10/22/19,151.36
10/23/19,153.63
10/24/19,146.43
10/25/19,151.35
10/28/19,152.09
10/29/19,154.10
10/30/19,153.46
10/31/19,151.33
11/1/19,155.89
11/4/19,158.28
11/5/19,160.00
11/6/19,159.24
11/7/19,159.45
11/8/19,157.84
11/11/19,157.94
11/12/19,157.62
11/13/19,155.38
11/14/19,156.11
11/15/19,157.63
11/18/19,156.11
11/19/19,156.43
11/20/19,153.67
11/21/19,155.09
11/22/19,157.28
11/25/19,159.29
11/26/19,158.84
11/27/19,158.80
11/29/19,157.74
12/2/19,153.28
12/3/19,151.80
12/4/19,153.28
12/5/19,157.39
12/6/19,158.87
12/9/19,158.59
12/10/19,157.26
12/11/19,159.59
12/12/19,167.76
12/13/19,164.54
12/16/19,164.05
12/17/19,165.01
12/18/19,165.11
12/19/19,165.87
12/20/19,165.64
12/23/19,166.68
12/24/19,165.09
12/26/19,165.66
12/27/19,165.90
12/30/19,165.67
12/31/19,165.74
1/2/20,168.02
1/3/20,167.12
1/6/20,166.52
1/7/20,165.19
1/8/20,165.98
1/9/20,165.26
1/10/20,166.00
1/13/20,165.30
1/14/20,166.66
1/15/20,167.08
1/16/20,170.50
1/17/20,172.53
1/21/20,169.79
1/22/20,167.88
1/23/20,168.48
1/24/20,166.48
1/27/20,162.34
1/28/20,166.35
1/29/20,162.75
1/30/20,165.16
1/31/20,159.33
2/3/20,160.87
2/4/20,165.80
2/5/20,167.87
2/6/20,166.12
2/7/20,163.05
2/10/20,164.49
2/11/20,165.53
2/12/20,168.37
2/13/20,167.88
2/14/20,166.97
2/18/20,164.93
2/19/20,161.79
2/20/20,162.05
2/21/20,158.10
2/24/20,151.08
2/25/20,143.69
2/26/20,142.21
2/27/20,136.13
2/28/20,143.70
3/2/20,142.42
3/3/20,134.35
3/4/20,137.71
3/5/20,127.63
3/6/20,128.21
3/9/20,120.02
3/10/20,130.59
3/11/20,122.18
3/12/20,104.74
3/13/20,109.09
3/16/20,86.64
3/17/20,90.91
3/18/20,78.33
3/19/20,83.77
3/20/20,79.45
3/23/20,72.03
3/24/20,90.27
3/25/20,98.26
3/26/20,107.24
3/27/20,96.66
3/30/20,100.38
3/31/20,100.00
4/1/20,92.13
4/2/20,95.69
4/3/20,95.27
4/6/20,106.69
4/7/20,107.40
4/8/20,114.38
4/9/20,119.37
4/13/20,114.05
4/14/20,115.53
4/15/20,107.19
4/16/20,106.71
4/17/20,112.54
4/20/20,110.48
4/21/20,106.34
4/22/20,107.37
4/23/20,105.83
4/24/20,107.74
4/27/20,112.74
4/28/20,117.82
4/29/20,122.09
4/30/20,110.20
5/1/20,106.50
5/4/20,103.93
5/5/20,107.12
5/6/20,106.11
5/7/20,109.98
5/8/20,117.33
5/11/20,113.58
5/12/20,108.72
5/13/20,102.39
5/14/20,104.45
5/15/20,107.84
5/18/20,120.66
5/19/20,121.89
5/20/20,127.13
5/21/20,123.52
5/22/20,121.49
5/26/20,128.10
5/27/20,132.84
5/28/20,126.49
5/29/20,125.45
6/1/20,125.09
6/2/20,131.12
6/3/20,137.95
6/4/20,142.50
6/5/20,146.64
6/8/20,148.23
